date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2012-09-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.31,6.0696
2012-09-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6406
2012-09-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1238
2012-09-15,,,National Average,,,oil and fats,Oil (olive),KG,5.79,8.1482
2012-09-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.88,2.6503
2012-09-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.48,2.0786
2012-09-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.88,2.6405
2012-09-15,,,National Average,,,pulses and nuts,Lentils,KG,1.24,1.7491
2012-09-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.118
2012-09-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.87,2.632
2012-09-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.83,1.1759
2012-09-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.78,1.0942
2012-09-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.46,3.4643
2012-09-15,,,National Average,,,vegetables and fruits,Onions,KG,0.61,0.8604
2012-09-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.2,1.6899
2012-09-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.71,1.0013
2012-10-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2394
2012-10-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.69,0.9773
2012-10-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.1,1.5505
2012-10-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.4,4.7881
2012-10-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.26,13.0363
2012-10-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.24,3.1489
2012-10-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.73,2.4377
2012-10-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.59,16.326
2012-10-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.31,6.0696
2012-10-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6406
2012-10-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1238
2012-10-15,,,National Average,,,oil and fats,Oil (olive),KG,5.79,8.1482
2012-10-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.89,2.6616
2012-10-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.48,2.0786
2012-10-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.88,2.6405
2012-10-15,,,National Average,,,pulses and nuts,Lentils,KG,1.24,1.7491
2012-10-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.118
2012-10-15,,,National Average,,,vegetables and fruits,Apples (red),KG,2.0,2.8109
2012-10-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.85,1.1928
2012-10-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.8,1.1266
2012-10-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.44,3.4291
2012-10-15,,,National Average,,,vegetables and fruits,Onions,KG,0.61,0.8604
2012-10-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.14,1.6054
2012-10-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.56,0.7886
